Gene	Control	Control_r	shPTB	shPTB_r	shPTBnPTB	shPTBnPTB_r
ABCB9	21	11	10	3	17	15
ABCC1	136	102	100	48	70	45
ABCC10	35	36	53	29	73	50
ABCC11	0	0	0	0	0	0
ABCC12	1	0	0	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	4	1	5	2	8	2
ABCC3	338	212	87	38	149	103
ABCC4	196	187	296	163	184	109
ABCC5	61	48	138	59	159	97
ABCC5-AS1	0	0	0	1	1	0
ABCC6	13	13	7	1	15	9
ABCC6P1	1	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0
ABCC9	247	199	121	48	593	314
ABCD1	8	7	22	14	26	24
ABCD2	0	0	3	3	3	1
ABCD3	242	258	239	114	232	177
ABCD4	74	57	144	73	93	59
ABCE1	415	316	515	285	654	421
ABCF1	240	165	563	332	756	504
ABCF2	196	143	377	245	394	242
ABCF3	103	75	281	107	284	174
ABCG1	0	0	2	1	1	1
ABCG2	0	0	8	9	6	2
ABCG4	0	0	0	0	0	0
ABCG5	0	0	0	0	1	0
ABCG8	0	0	0	0	0	0
ABHD1	0	1	2	0	1	2
ABHD10	25	24	30	21	61	37
ABHD11	4	8	4	1	5	2
ABHD11-AS1	4	0	2	0	1	0
ABHD12	87	51	315	170	340	192
ABHD12B	1	0	0	1	0	0
ABHD13	3	10	11	6	10	8
ABHD14A	7	6	16	8	8	1
ABHD14B	13	13	6	3	5	6
ABHD15	0	0	0	0	0	0
ABHD16A	121	98	265	159	274	196
ABHD16B	0	0	0	0	0	0
ABHD17A	44	34	67	27	52	33
ABHD17B	4	7	11	6	7	8
ABHD17C	8	5	6	1	0	1
ABHD18	17	26	18	10	16	21
ABHD2	152	102	60	37	67	41
ABHD3	7	5	35	16	41	21
ABHD4	32	22	50	21	69	24
ABHD5	85	58	46	21	85	51
ABHD6	7	6	23	15	30	22
ABHD8	8	11	15	7	15	11
ABI1	117	68	218	126	170	90
ABI2	51	50	49	10	59	22
ABI3	0	0	0	0	0	0
ABI3BP	31	17	18	10	31	19
ABL1	57	55	126	54	122	67
ABL2	55	56	115	69	101	68
ABLIM1	2	7	12	0	8	4
ABLIM2	0	0	0	0	3	0
ABLIM3	49	55	400	165	354	225
ABO	0	0	0	0	0	0
ABR	122	68	161	76	246	178
ABRA	0	0	0	0	0	0
ABRACL	17	12	33	11	21	8
ABT1	4	2	10	1	5	5
ABTB1	16	16	20	6	13	6
ABTB2	11	13	16	7	15	13
ACAA1	45	51	60	41	90	34
ACAA2	294	241	356	178	334	248
ACACA	266	209	509	256	336	218
ACACB	19	16	30	21	49	32
ACAD10	28	13	110	37	103	61
ACAD11	97	89	249	118	179	88
ACAD8	33	32	67	24	111	78
ACAD9	85	70	140	53	146	82
ACADL	0	0	0	0	0	0
ACADM	128	114	204	109	135	111
ACADS	37	15	34	16	27	17
ACADSB	28	26	27	13	36	21
ACADVL	868	716	1707	922	2002	1188
ACAN	1	0	20	4	11	10
ACAP1	20	12	12	10	13	9
ACAP2	429	405	754	397	771	504
ACAP3	100	70	153	71	231	112
ACAT1	127	110	549	231	687	418
ACAT2	85	60	100	51	64	41
ACBD3	108	80	270	145	328	231
ACBD4	13	7	15	3	14	5
ACBD5	84	59	168	111	99	59
ACBD6	72	50	122	34	102	76
ACBD7	0	2	1	0	0	0
ACCS	16	10	27	9	24	8
ACCSL	0	0	0	1	0	0
ACD	16	14	22	19	22	17
ACE	14	10	11	10	7	10
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	0	1	5	4	5	2
ACER3	54	21	41	29	22	2
ACHE	0	0	0	0	0	0
ACIN1	187	157	337	204	339	276
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0
ACKR3	0	0	0	0	1	0
ACKR4	6	0	15	0	0	0
ACLY	1036	814	1141	562	982	669
ACMSD	0	3	1	2	0	0
ACO1	507	431	641	339	705	425
ACO2	101	74	353	166	350	182
ACOT1	1	1	3	0	0	2
ACOT11	2	1	1	0	3	2
ACOT12	0	0	0	0	1	0
ACOT13	31	8	36	9	36	27
ACOT2	5	8	35	14	25	12
ACOT4	0	0	0	0	1	0
ACOT6	0	0	0	0	0	0
ACOT7	12	12	14	4	8	7
ACOT8	50	31	101	45	102	44
ACOT9	191	159	402	220	318	236
ACOX1	157	95	296	156	275	155
ACOX2	39	49	22	13	14	4
ACOX3	56	51	97	50	71	44
ACOXL	0	0	0	0	0	0
ACP1	215	132	289	180	453	295
ACP2	42	29	60	16	76	37
ACP5	1	1	3	1	3	2
ACP6	8	7	8	2	13	5
ACP7	0	0	0	0	0	0
ACPP	0	0	0	0	1	0
ACPT	0	0	0	1	1	0
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0
ACRC	7	6	9	1	10	15
ACRV1	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0
ACSBG2	1	1	0	1	1	1
ACSF2	64	36	84	42	15	7
ACSF3	27	17	31	9	23	22
ACSL1	235	201	193	188	238	142
ACSL3	414	299	369	174	335	192
ACSL4	301	209	232	146	364	274
ACSL5	70	40	34	20	31	21
ACSL6	0	0	1	0	0	0
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	6	3	10	4	13	6
ACSM4	1	2	8	4	6	2
ACSM5	2	6	51	15	24	23
ACSM6	0	1	0	0	1	0
ACSS1	41	53	28	9	42	39
ACSS2	175	111	131	49	94	62
ACSS3	69	58	19	15	18	17
ACTA1	0	0	0	0	0	0
ACTA2	402	323	490	271	312	188
ACTA2-AS1	95	71	117	73	85	37
ACTB	928	767	1761	902	1272	728
ACTBL2	0	0	0	0	0	0
ACTC1	0	1	4	0	2	2
ACTG1	3742	2913	1213	660	532	340
ACTG1P17	0	0	0	0	0	0
ACTG1P20	9	5	13	4	10	3
ACTG1P4	1	0	0	2	1	1
ACTG2	0	0	0	0	0	0
ACTL10	6	2	9	4	20	6
ACTL6A	199	128	136	90	214	144
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0
ACTN1	686	592	1010	502	814	480
ACTN1-AS1	0	0	0	0	0	0
ACTN2	2	0	2	0	3	0
ACTN3	0	1	0	0	0	0
ACTN4	926	802	876	392	455	274
ACTR10	408	315	489	247	651	417
ACTR1A	188	157	403	192	249	132
ACTR1B	41	52	129	52	112	53
ACTR2	375	347	743	426	335	175
ACTR3	866	721	2231	1105	2433	1455
ACTR3B	7	1	15	5	20	9
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	0	1	1	0	3	1
ACTR5	12	9	6	5	16	11
ACTR6	124	60	147	101	162	114
ACTR8	114	111	260	146	226	167
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0	0	0	0	0	0
ACVR1	49	48	79	34	76	41
ACVR1B	34	31	51	19	39	23
ACVR1C	0	1	1	4	4	0
ACVR2A	110	89	107	52	116	64
ACVR2B	5	4	12	8	5	4
ACVR2B-AS1	1	0	0	0	1	1
ACVRL1	68	67	148	57	59	36
ACY1	42	40	122	53	105	57
ACY3	0	0	0	0	0	0
ACYP1	6	6	10	3	9	1
ACYP2	3	7	22	6	21	5
ADA	64	48	57	23	94	42
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	22	9	43	21	40	20
ADAM10	689	521	855	485	628	386
ADAM11	0	0	0	2	1	0
ADAM12	177	150	514	271	405	237
ADAM15	71	43	116	61	297	152
ADAM17	352	298	522	304	525	330
ADAM18	0	0	1	0	0	0
ADAM19	39	30	173	76	101	53
ADAM1A	0	0	0	0	0	0
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0
ADAM21	0	0	0	0	0	1
ADAM21P1	0	0	0	0	0	0
ADAM22	2	5	107	59	52	23
ADAM23	13	8	79	29	108	63
ADAM28	3	0	0	1	3	3
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	27	13	24	16	37	23
ADAM33	828	617	700	291	409	250
ADAM3A	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	2	4	5	4	2	2
ADAM9	2269	1931	2543	1598	2032	1333
ADAMDEC1	0	0	3	1	11	6
ADAMTS1	319	275	151	80	159	111
ADAMTS10	45	22	17	10	10	5
ADAMTS12	124	65	99	42	83	54
ADAMTS13	6	7	14	4	5	7
ADAMTS14	7	5	103	63	56	25
ADAMTS15	2	0	9	2	1	3
ADAMTS16	0	0	1	0	1	0
ADAMTS17	0	0	0	1	0	0
ADAMTS18	0	0	0	0	2	0
ADAMTS19	0	0	1	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	313	255	329	168	431	262
ADAMTS20	0	0	0	0	0	0
ADAMTS3	4	2	0	1	2	0
ADAMTS4	4	5	6	1	3	2
ADAMTS5	149	112	105	62	135	68
ADAMTS6	93	79	39	22	63	45
ADAMTS7	29	20	37	20	20	12
ADAMTS7P1	144	96	168	144	360	168
ADAMTS8	0	1	3	1	3	0
ADAMTS9	6	14	25	10	23	8
ADAMTS9-AS1	0	0	2	0	0	1
ADAMTS9-AS2	2	1	1	0	1	3
ADAMTSL1	301	288	225	121	97	68
ADAMTSL2	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0
ADAMTSL4	23	9	12	5	20	11
ADAMTSL4-AS1	0	1	0	2	3	0
ADAMTSL5	9	17	7	2	8	2
ADAP1	3	8	10	3	3	3
ADAP2	1	2	3	4	3	1
ADAR	236	170	285	143	138	110
ADARB1	62	42	37	16	14	13
ADARB2	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	30	11	29	24	40	28
ADAT2	6	4	5	9	8	7
ADAT3	5	1	3	0	9	4
ADCK1	3	5	7	3	10	7
ADCK2	26	24	27	16	47	22
ADCK3	48	51	76	31	103	64
ADCK4	43	29	69	27	90	52
ADCK5	15	11	22	10	22	11
ADCY1	2	0	41	27	99	63
ADCY10	1	1	3	1	3	5
ADCY10P1	3	4	14	3	24	8
ADCY2	0	0	8	3	6	3
ADCY3	154	134	143	43	186	128
ADCY4	7	13	7	2	3	2
ADCY5	0	0	1	0	0	0
ADCY6	45	50	78	36	72	44
ADCY7	308	226	100	53	158	85
ADCY8	0	0	7	3	6	3
ADCY9	11	9	59	20	33	20
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	0	3	48	25	29	25
ADD1	473	304	914	520	742	464
ADD2	0	0	1	0	0	0
ADD3	579	473	529	327	146	103
ADD3-AS1	35	22	23	13	3	15
ADGB	0	0	0	0	1	0
ADGRA1	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	428	347	314	131	264	147
ADGRA3	52	38	49	26	47	34
ADGRB1	0	0	3	2	2	3
ADGRB2	27	19	16	7	18	10
ADGRB3	0	0	2	1	10	6
ADGRD1	3	4	2	0	2	0
ADGRE1	0	0	0	0	0	0
ADGRE2	2	2	1	1	6	3
ADGRE3	0	0	0	0	0	0
ADGRE4P	0	0	0	1	0	0
ADGRE5	144	119	231	85	179	113
ADGRF1	0	0	0	0	0	0
ADGRF2	0	0	0	0	0	0
ADGRF3	0	0	3	0	2	2
ADGRF4	0	0	0	0	0	0
ADGRF5	0	0	1	0	1	0
ADGRG1	0	1	6	2	0	1
ADGRG2	2	3	3	0	2	3
ADGRG3	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0
ADGRG6	1	0	2	0	7	2
ADGRG7	143	141	260	106	372	210
ADGRL1	20	6	27	2	8	5
ADGRL2	196	170	396	225	357	268
ADGRL3	0	0	0	0	0	0
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	22	11	44	20	70	42
ADGRV1	1	0	0	0	1	1
ADH1A	13	6	18	5	20	7
ADH1B	1120	811	479	208	260	173
ADH1C	1	4	0	0	0	0
ADH4	4	1	2	0	2	20
ADH5	917	700	905	506	776	501
ADH6	33	10	21	17	33	15
ADH7	0	0	0	0	0	0
ADHFE1	6	6	12	9	16	5
ADI1	50	59	93	58	65	38
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	176	160	348	124	361	236
ADIPOR2	24	23	50	36	46	35
ADIRF	43	37	174	92	127	67
ADK	55	40	112	44	197	76
ADM	1247	975	908	421	502	336
ADM2	1	1	0	0	0	0
ADM5	0	0	0	0	0	0
ADNP	8	7	7	5	14	5
ADNP-AS1	0	21	45	25	1	37
ADNP2	6	3	2	5	4	9
ADO	0	0	0	0	0	0
ADORA1	0	0	1	0	0	2
ADORA2A	0	0	0	0	1	0
ADORA2A-AS1	0	0	1	0	1	1
ADORA2B	0	0	0	0	0	0
ADORA3	0	0	0	0	0	0
ADPGK	80	54	199	107	48	31
ADPGK-AS1	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0
ADPRHL1	0	2	4	3	1	2
ADPRHL2	38	34	42	30	66	23
ADPRM	9	5	10	4	17	7
ADRA1A	0	0	0	0	0	0
ADRA1B	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0
ADRA2C	0	0	0	0	0	0
ADRB1	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0
ADRBK1	64	66	120	64	143	53
ADRBK2	21	6	10	4	5	6
ADRM1	185	122	280	148	266	204
ADSL	241	170	402	191	585	317
ADSS	252	181	381	176	432	360
ADSSL1	9	7	3	2	3	5
ADTRP	0	0	1	1	2	2
AEBP1	119	130	164	103	114	91
AEBP2	36	29	55	27	59	39
AEN	19	5	17	9	23	10
AES	143	88	392	178	428	262
AFAP1	172	146	175	58	176	157
AFAP1-AS1	20	7	14	4	23	12
AFAP1L1	16	13	140	97	42	20
AFAP1L2	0	0	2	1	2	0
AFF1	32	9	89	40	56	33
AFF2	0	0	3	0	5	2
AFF3	0	1	3	1	8	7
AFF4	130	98	294	143	412	292
AFG3L1P	8	8	23	10	18	6
AFG3L2	113	108	249	123	392	223
AFM	0	0	0	0	0	0
AFMID	6	40	13	22	48	39
AFP	2	2	0	0	0	0
AFTPH	49	27	107	29	50	27
AGA	69	59	89	40	102	69
AGAP1	40	32	69	35	53	37
AGAP1-IT1	0	0	0	0	0	0
AGAP11	6	2	24	7	21	6
AGAP12P	0	0	0	0	0	0
AGAP2	13	12	41	13	41	23
AGAP2-AS1	1	1	7	2	4	1
AGAP3	103	94	200	93	150	70
AGAP4	7	2	6	4	11	4
AGAP5	3	2	11	1	13	4
AGAP6	5	7	23	2	29	10
AGAP7P	0	0	2	7	36	8
AGAP9	4	0	1	0	3	1
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	1	0	1
AGBL2	5	0	0	0	1	0
AGBL3	2	0	4	6	2	2
AGBL4	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	41	46	59	39	51	26
AGBL5-AS1	0	0	0	0	0	0
AGER	5	3	2	1	1	2
AGFG1	170	127	180	117	181	90
AGFG2	10	19	20	19	12	5
AGGF1	87	67	154	84	107	52
AGK	51	41	81	52	67	55
AGL	93	72	133	72	119	62
AGMAT	0	0	0	1	2	0
AGMO	4	0	13	4	0	1
AGO1	50	56	61	35	68	47
AGO2	80	60	79	44	109	69
AGO3	97	77	123	57	161	98
AGO4	82	47	112	52	82	39
AGPAT1	33	30	45	18	65	42
AGPAT2	48	35	33	23	35	51
AGPAT3	65	38	132	61	60	37
AGPAT4	24	16	31	23	22	12
AGPAT4-IT1	0	0	5	0	0	0
AGPAT5	35	24	21	10	27	23
AGPS	277	254	164	105	490	277
AGR2	0	0	0	0	0	0
AGR3	0	0	1	0	0	0
AGRN	66	41	52	16	96	72
AGRP	1	0	1	0	1	0
AGT	0	0	6	4	2	2
AGTPBP1	53	75	104	52	109	84
AGTR1	1	0	0	1	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	14	21	64	25	56	29
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	166	154	265	159	414	222
AHCTF1P1	0	0	0	0	0	0
AHCY	222	195	306	135	285	194
AHCYL1	334	232	187	85	235	141
AHCYL2	13	13	48	40	55	38
AHDC1	5	2	5	2	4	1
AHI1	102	76	213	106	197	160
AHNAK	378	257	456	200	279	224
AHNAK2	13	15	312	129	236	152
AHR	172	118	434	238	1040	555
AHRR	69	48	122	70	117	70
AHSA1	110	109	360	180	475	307
AHSA2	62	39	58	29	47	51
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	147	134	286	202	231	130
AIF1	0	0	0	0	0	0
AIF1L	0	0	0	0	1	0
AIFM1	40	37	120	49	86	57
AIFM2	35	47	48	19	55	31
AIFM3	4	1	5	2	5	2
AIG1	27	21	23	15	18	26
AIM1	194	163	291	168	515	333
AIM1L	0	0	0	0	0	1
AIM2	0	0	0	0	0	1
AIMP1	99	85	190	66	193	126
AIMP2	34	37	76	33	78	40
AIP	120	92	184	98	136	63
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
AIRN	0	0	0	0	0	0
AJAP1	0	0	0	0	0	1
AJUBA	115	106	49	9	73	25
AK1	149	129	144	69	160	106
AK2	255	165	320	143	344	216
AK3	117	82	219	100	109	110
AK4	35	21	13	10	21	12
AK5	174	134	676	411	551	403
AK6	58	57	109	45	199	146
AK7	1	0	1	0	0	0
AK8	2	1	1	2	0	4
AK9	19	17	65	42	52	37
AKAP1	10	6	24	14	12	8
AKAP10	99	62	147	97	152	106
AKAP11	44	35	55	25	67	29
AKAP12	0	2	17	5	8	6
AKAP13	188	174	808	460	495	305
AKAP14	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0
AKAP2	58	59	58	36	122	72
AKAP3	1	0	6	3	4	0
AKAP4	0	0	0	0	0	0
AKAP5	3	0	0	0	0	0
AKAP6	1	2	8	5	11	2
AKAP7	10	13	4	0	4	10
AKAP8	55	44	79	29	107	49
AKAP8L	138	100	206	107	229	137
AKAP9	310	248	507	251	427	288
AKIP1	38	39	70	28	83	59
AKIRIN1	32	34	60	20	145	90
AKIRIN2	20	10	14	3	23	10
AKNA	26	32	59	20	85	53
AKNAD1	3	0	0	0	0	0
AKR1A1	140	110	374	146	528	275
AKR1B1	312	220	283	125	351	189
AKR1B10	7	2	0	2	2	1
AKR1B15	0	0	0	0	5	0
AKR1C1	758	648	419	233	334	196
AKR1C2	252	173	193	90	135	90
AKR1C3	671	563	211	104	111	90
AKR1C4	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	0	0	0	0	0	0
AKR1E2	16	13	14	8	15	7
AKR7A2	79	60	118	60	70	38
AKR7A2P1	32	39	23	8	28	20
AKR7A3	0	0	1	0	0	2
AKR7L	1	0	1	0	0	1
AKT1	163	123	393	179	400	281
AKT1S1	7	8	35	19	36	18
AKT2	247	204	373	127	345	205
AKT3	145	118	252	118	352	190
AKTIP	60	39	78	85	119	59
ALAD	44	30	88	30	39	25
ALAS1	97	75	199	151	126	82
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	380	288	728	402	953	704
ALDH16A1	97	72	102	47	81	49
ALDH18A1	343	234	370	160	708	442
ALDH1A1	4	2	21	6	4	4
ALDH1A2	3	0	11	4	5	4
ALDH1A3	99	76	90	62	207	139
ALDH1B1	0	0	0	0	0	0
ALDH1L1	0	0	1	0	0	0
ALDH1L1-AS1	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	0
ALDH1L2	338	303	395	188	864	559
ALDH2	118	92	96	37	112	42
ALDH3A1	13	12	0	1	1	0
ALDH3A2	295	240	93	63	142	93
ALDH3B1	68	51	71	25	51	43
ALDH3B2	0	0	0	0	1	0
ALDH4A1	14	12	21	9	18	6
ALDH5A1	3	1	0	0	0	0
ALDH6A1	28	24	54	40	55	20
ALDH7A1	66	59	71	32	87	61
ALDH8A1	3	0	2	1	1	0
ALDH9A1	408	330	225	125	77	38
ALDOA	1869	1665	1542	722	1870	1227
ALDOB	1	0	4	0	0	0
ALDOC	62	42	5	4	18	6
ALG1	86	78	121	55	138	95
ALG10	5	1	3	2	3	0
ALG10B	4	2	1	2	0	0
ALG11	8	8	23	9	29	17
ALG12	33	27	106	41	81	46
ALG13	69	57	47	29	110	60
ALG14	15	18	15	9	23	14
ALG1L	0	0	0	0	0	0
ALG1L2	0	0	0	0	0	0
ALG1L9P	0	0	0	0	0	0
ALG2	10	6	13	5	20	14
ALG3	32	27	56	12	119	73
ALG5	123	104	91	51	153	83
ALG6	42	29	56	20	16	12
ALG8	96	104	151	79	166	108
ALG9	79	70	98	59	121	65
ALK	3	1	1	1	4	0
ALKBH1	8	11	24	11	37	16
ALKBH2	6	6	14	3	23	28
ALKBH3	58	51	75	35	99	72
ALKBH3-AS1	11	4	5	2	68	8
ALKBH4	4	1	3	6	6	3
ALKBH5	54	44	81	32	59	56
ALKBH6	21	14	36	28	41	19
ALKBH7	36	32	44	37	53	34
ALKBH8	20	16	26	13	25	19
ALLC	0	0	0	0	0	0
ALMS1	27	34	25	11	46	27
ALMS1-IT1	0	4	0	0	2	0
ALMS1P1	0	0	0	0	2	1
ALOX12	7	5	15	10	24	30
ALOX12-AS1	2	0	15	5	10	9
ALOX12B	0	0	0	0	0	0
ALOX12P2	1	0	1	0	3	0
ALOX15	0	0	0	0	0	0
ALOX15B	0	0	0	0	0	0
ALOX15P1	0	0	0	0	0	0
ALOX5	0	0	0	0	1	0
ALOX5AP	0	0	0	0	0	0
ALOXE3	0	0	0	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	12	41	77	19	101	47
ALPK2	263	213	100	46	141	72
ALPK3	0	0	2	0	0	0
ALPL	3	2	3	1	8	2
ALPP	0	0	0	0	0	0
ALPPL2	0	0	0	0	0	0
ALS2	218	197	438	229	460	291
ALS2CL	6	7	34	12	15	9
ALS2CR11	14	14	4	0	6	7
ALS2CR12	3	4	6	6	15	6
ALX1	0	1	1	0	0	0
ALX3	0	0	0	0	1	0
ALX4	0	0	0	0	0	0
ALYREF	70	45	106	42	103	60
AMACR	8	9	34	14	26	14
AMBN	0	0	0	0	0	0
AMBP	15	2	0	1	1	2
AMBRA1	62	50	175	75	154	123
AMD1	58	46	195	77	151	90
AMDHD1	0	0	0	0	1	0
AMDHD2	14	7	146	72	126	95
AMELX	0	1	0	0	2	1
AMELY	0	0	0	0	0	0
AMER1	0	2	0	0	1	0
AMER2	0	0	0	0	0	0
AMER3	0	0	0	0	0	0
AMFR	398	363	490	254	329	203
AMH	0	0	0	0	0	0
AMHR2	0	0	0	0	0	0
AMIGO1	0	0	0	0	0	0
AMIGO2	0	0	0	2	0	0
AMIGO3	1	0	5	2	0	2
AMMECR1	20	21	14	5	19	18
AMMECR1L	28	17	52	12	22	26
AMN	0	0	1	0	1	0
AMN1	16	8	12	11	25	9
AMOT	10	16	6	6	7	3
AMOTL1	69	48	165	65	100	61
AMOTL2	184	108	50	23	80	41
AMPD1	0	0	0	0	1	0
AMPD2	138	112	161	86	173	110
AMPD3	91	86	51	12	24	12
AMPH	2	4	5	5	7	7
AMT	2	5	3	0	4	2
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	1	0	0	0	0	0
AMY2B	10	5	9	5	16	7
AMZ1	0	0	0	0	0	0
AMZ2	61	45	97	40	148	94
AMZ2P1	7	5	8	10	7	8
ANAPC1	248	199	415	170	299	213
ANAPC10	23	13	26	20	35	18
ANAPC11	68	55	84	36	77	44
ANAPC13	26	19	15	12	49	57
ANAPC15	27	26	65	40	69	45
ANAPC16	115	92	110	51	179	94
ANAPC1P1	0	0	0	2	0	0
ANAPC2	18	14	54	21	22	15
ANAPC4	166	70	247	128	344	212
ANAPC5	368	258	679	335	615	440
ANAPC7	72	58	127	68	164	84
ANG	19	8	29	14	18	15
ANGEL1	6	23	13	3	17	10
ANGEL2	18	22	29	11	54	41
ANGPT1	333	274	35	27	52	40
ANGPT2	3	0	1	6	16	1
ANGPT4	0	0	0	0	0	1
ANGPTL1	27	3	14	7	8	5
ANGPTL2	23	19	64	38	70	39
ANGPTL3	4	3	1	1	2	1
ANGPTL4	88	57	69	34	136	93
ANGPTL5	3	1	10	5	4	9
ANGPTL6	0	0	0	0	0	1
ANGPTL7	0	0	0	0	0	0
ANGPTL8	0	8	0	0	0	0
ANHX	0	0	0	0	0	0
ANK1	10	4	18	7	11	12
ANK2	87	72	492	259	650	437
ANK3	1	2	5	2	0	1
ANKAR	18	27	37	12	56	29
ANKDD1A	11	5	7	4	5	6
ANKDD1B	0	0	1	0	0	0
ANKEF1	4	3	9	4	4	6
ANKFN1	3	1	9	4	0	1
ANKFY1	84	95	96	47	62	38
ANKH	37	34	169	84	147	116
ANKHD1	127	97	290	165	301	176
ANKHD1-EIF4EBP3	130	96	298	170	306	182
ANKIB1	187	172	457	228	429	255
